pincode,state,district
131301,HARYANA,SONIPAT
131303,HARYANA,KUNDLI
131305,HARYANA,GOHANA
131402,HARYANA,SONIPAT
132001,HARYANA,KARNAL
132004,HARYANA,KARNAL
132013,HARYANA,KARNAL
132021,HARYANA,KARNAL
132022,HARYANA,KARNAL
132023,HARYANA,KARNAL
132024,HARYANA,KARNAL
132036,HARYANA,KARNAL
132039,HARYANA,KARNAL
132041,HARYANA,KARNAL
132054,HARYANA,KARNAL
132101,HARYANA,PANIPAT
132102,HARYANA,PANIPAT
132103,HARYANA,PANIPAT
132104,HARYANA,KARNAL
132105,HARYANA,PANIPAT
132106,HARYANA,PANIPAT
132107,HARYANA,PANIPAT
132110,HARYANA,PANIPAT
132113,HARYANA,PANIPAT
132114,HARYANA,KARNAL
132116,HARYANA,KARNAL
132117,HARYANA,KARNAL
132118,HARYANA,KARNAL
132119,HARYANA,AMBALA
132123,HARYANA,KARNAL
132140,HARYANA,PANIPAT
132151,HARYANA,PANIPAT
132152,HARYANA,KARNAL
133001,HARYANA,AMBALA
133002,HARYANA,AMBALA
133003,HARYANA,AMBALA
133004,HARYANA,AMBALA
133005,HARYANA,AMBALA
133006,HARYANA,AMBALA
133007,HARYANA,AMBALA
133021,HARYANA,AMBALA
133102,HARYANA,AMBALA
133103,HARYANA,YAMUNANAGAR
133104,HARYANA,PANCHKULA
133201,HARYANA,AMBALA
133202,HARYANA,AMBALA
133203,HARYANA,AMBALA
133204,HARYANA,YAMUNANAGAR
133302,HIMACHAL PRADESH,PANCHKULA
134001,HARYANA,AMBALA
134002,HARYANA,AMBALA
134003,HARYANA,AMBALA
134004,HARYANA,AMBALA
134005,HARYANA,AMBALA
134006,HARYANA,AMBALA
134007,HARYANA,AMBALA
134009,HARYANA,AMBALA
134011,HARYANA,AMBALA
134101,HARYANA,PANCHKULA
134102,HIMACHAL PRADESH,PANCHKULA
134103,HARYANA,PANCHKULA
134104,HARYANA,PANCHKULA
134105,HARYANA,PANCHKULA
134107,HARYANA,PANCHKULA
134108,HARYANA,PANCHKULA
134109,HARYANA,PANCHKULA
134110,HARYANA,PANCHKULA
134111,HARYANA,PANCHKULA
134112,HARYANA,PANCHKULA
134113,HARYANA,PANCHKULA
134114,HARYANA,PANCHKULA
134115,HARYANA,PANCHKULA
134116,HARYANA,PANCHKULA
134117,HARYANA,PANCHKULA
134118,HARYANA,PANCHKULA
134119,HARYANA,AMBALA
134126,HARYANA,PANCHKULA
134151,HARYANA,PANCHKULA
134152,HARYANA,PANCHKULA
134202,HARYANA,AMBALA
134203,HARYANA,AMBALA
134204,HARYANA,PANCHKULA
135001,HARYANA,YAMUNANAGAR
135002,HARYANA,YAMUNANAGAR
135003,HARYANA,YAMUNANAGAR
135102,HARYANA,YAMUNANAGAR
135133,HARYANA,YAMUNANAGAR
136020,HARYANA,KURUKSHETRA
136027,HARYANA,KAITHAL
136033,HARYANA,AMBALA
136034,HARYANA,KAITHAL
136044,HARYANA,KAITHAL
136117,HARYANA,KAITHAL
136118,HARYANA,KURUKSHETRA
136119,HARYANA,KURUKSHETRA
136128,HARYANA,KURUKSHETRA
136129,HARYANA,KURUKSHETRA
136131,HARYANA,KURUKSHETRA
136132,HARYANA,KURUKSHETRA
136135,HARYANA,KURUKSHETRA
136156,HARYANA,AMBALA
140001,PUNJAB,ROPAR
140101,CHANDIGARH,CHANDIGARH
140103,PUNJAB,KURALI
140108,PUNJAB,ROPAR
140111,CHANDIGARH,CHANDIGARH
140112,HARYANA,PINJORE
140113,PUNJAB,ROPAR
140117,HARYANA,RUPNAGAR
140118,HARYANA,RUPNAGAR
140124,PUNJAB,RUPNAGAR
140125,HIMACHAL PRADESH,RUPNAGAR
140201,HARYANA,SAHIBZADA AJIT SINGH NAGAR
140202,HARYANA,PANCHKULA
140203,HARYANA,AMBALA
140301,PUNJAB,SAHIBZADA AJIT SINGH NAGAR
140306,PUNJAB,SAHIBZADA AJIT SINGH NAGAR
140308,PUNJAB,SAHIBZADA AJIT SINGH NAGAR
140401,PUNJAB,PATIALA
140406,PUNJAB,FATEHGARH SAHIB
140412,PUNJAB,FATEHGARH SAHIB
140413,PUNJAB,MOHALI
140417,PUNJAB,AMRITSAR
140501,HARYANA,SAHIBZADA AJIT SINGH NAGAR
140502,HARYANA,AMBALA
140507,HARYANA,SAHIBZADA AJIT SINGH NAGAR
140508,HARYANA,AMBALA
140601,PUNJAB,PATIALA
140603,HARYANA,SAHIBZADA AJIT SINGH NAGAR
140604,HARYANA,SAHIBZADA AJIT SINGH NAGAR
140801,HARYANA,SAHIBZADA AJIT SINGH NAGAR
140901,CHANDIGARH,CHANDIGARH
141001,PUNJAB,LUDHIANA
141002,PUNJAB,LUDHIANA
141003,PUNJAB,LUDHIANA
141004,PUNJAB,LUDHIANA
141005,PUNJAB,LUDHIANA
141006,PUNJAB,LUDHIANA
141007,PUNJAB,LUDHIANA
141008,PUNJAB,LUDHIANA
141009,PUNJAB,LUDHIANA
141010,PUNJAB,LUDHIANA
141011,PUNJAB,LUDHIANA
141012,PUNJAB,LUDHIANA
141013,PUNJAB,LUDHIANA
141014,PUNJAB,LUDHIANA
141015,PUNJAB,LUDHIANA
141016,PUNJAB,LUDHIANA
141020,PUNJAB,LUDHIANA
141021,PUNJAB,LUDHIANA
141025,PUNJAB,LUDHIANA
141027,PUNJAB,LUDHIANA
141033,PUNJAB,LUDHIANA
141101,PUNJAB,LUDHIANA
141104,PUNJAB,LUDHIANA
141105,PUNJAB,LUDHIANA
141106,PUNJAB,LUDHIANA
141109,PUNJAB,LUDHIANA
141110,PUNJAB,LUDHIANA
141111,PUNJAB,LUDHIANA
141112,PUNJAB,LUDHIANA
141114,PUNJAB,LUDHIANA
141115,PUNJAB,LUDHIANA
141116,PUNJAB,LUDHIANA
141118,PUNJAB,LUDHIANA
141119,PUNJAB,LUDHIANA
141120,PUNJAB,LUDHIANA
141123,PUNJAB,LUDHIANA
141124,PUNJAB,LUDHIANA
141201,PUNJAB,LUDHIANA
141204,PUNJAB,LUDHIANA
141206,PUNJAB,LUDHIANA
141231,PUNJAB,LUDHIANA
141234,PUNJAB,LUDHIANA
141301,PUNJAB,LUDHIANA
141302,PUNJAB,JALANDHAR
141303,PUNJAB,JALANDHAR
141306,PUNJAB,JALANDHAR
141308,PUNJAB,JALANDHAR
141309,PUNJAB,KAPURTHALA
141310,PUNJAB,JALANDHAR
141311,PUNJAB,JALANDHAR
141317,PUNJAB,JALANDHAR
141318,PUNJAB,JALANDHAR
141400,PUNJAB,RAJPURA
141401,PUNJAB,LUDHIANA
141412,PUNJAB,LUDHIANA
141416,PUNJAB,LUDHIANA
141418,PUNJAB,LUDHIANA
141420,PUNJAB,LUDHIANA
141421,PUNJAB,LUDHIANA
141801,PUNJAB,FATEHGARH SAHIB
142001,PUNJAB,MOGA
142021,PUNJAB,LUDHIANA
142026,PUNJAB,LUDHIANA
142027,PUNJAB,LUDHIANA
142033,PUNJAB,LUDHIANA
142037,PUNJAB,MOGA
142038,PUNJAB,MOGA
142042,PUNJAB,MALERKOTLA
142043,PUNJAB,MOGA
142044,PUNJAB,FIROZPUR
142047,PUNJAB,FIROZPUR
142049,PUNJAB,MOGA
142050,PUNJAB,FIROZPUR
142053,PUNJAB,MOGA
142055,PUNJAB,MOGA
142059,PUNJAB,MOGA
142060,PUNJAB,FIROZPUR
142061,PUNJAB,MOGA
143001,PUNJAB,AMRITSAR
143002,PUNJAB,AMRITSAR
143003,PUNJAB,AMRITSAR
143004,PUNJAB,AMRITSAR
143005,PUNJAB,AMRITSAR
143006,PUNJAB,AMRITSAR
143007,PUNJAB,AMRITSAR
143008,PUNJAB,AMRITSAR
143010,PUNJAB,AMRITSAR
143021,PUNJAB,AMRITSAR
143026,PUNJAB,AMRITSAR
143036,PUNJAB,AMRITSAR
143044,PUNJAB,AMRITSAR
143093,PUNJAB,AMRITSAR
143101,PUNJAB,AMRITSAR
143102,PUNJAB,AMRITSAR
143103,PUNJAB,AMRITSAR
143104,PUNJAB,AMRITSAR
143105,PUNJAB,AMRITSAR
143106,PUNJAB,AMRITSAR
143107,PUNJAB,AMRITSAR
143110,PUNJAB,AMRITSAR
143111,PUNJAB,AMRITSAR
143112,PUNJAB,AMRITSAR
143114,PUNJAB,AMRITSAR
143115,PUNJAB,AMRITSAR
143116,PUNJAB,AMRITSAR
143149,PUNJAB,AMRITSAR
143201,PUNJAB,AMRITSAR
143203,PUNJAB,AMRITSAR
143301,PUNJAB,TARN TARAN
143303,PUNJAB,TARN TARAN
143306,PUNJAB,AMRITSAR
143401,PUNJAB,TARN TARAN
143412,PUNJAB,TARN TARAN
143416,PUNJAB,AMRITSAR
143417,PUNJAB,AMRITSAR
143418,PUNJAB,AMRITSAR
143420,PUNJAB,AMRITSAR
143421,PUNJAB,AMRITSAR
143423,PUNJAB,AMRITSAR
143502,PUNJAB,AMRITSAR
143503,PUNJAB,AMRITSAR
143505,PUNJAB,GURDASPUR
143508,PUNJAB,AMRITSAR
143510,PUNJAB,AMRITSAR
143512,PUNJAB,GURDASPUR
143519,PUNJAB,GURDASPUR
143521,PUNJAB,GURDASPUR
143523,PUNJAB,PATHANKOT
143530,PUNJAB,GURDASPUR
143531,PUNJAB,GURDASPUR
143533,PUNJAB,GURDASPUR
143534,PUNJAB,PATHANKOT
143535,PUNJAB,PATHANKOT
143536,PUNJAB,PATHANKOT
143537,PUNJAB,PATHANKOT
143538,PUNJAB,PATHANKOT
143601,PUNJAB,AMRITSAR
143604,PUNJAB,GURDASPUR
143607,PUNJAB,AMRITSAR
143804,PUNJAB,JALANDHAR
144000,PUNJAB,JALANDHAR
144001,PUNJAB,JALANDHAR
144002,PUNJAB,JALANDHAR
144003,PUNJAB,JALANDHAR
144004,PUNJAB,JALANDHAR
144005,PUNJAB,JALANDHAR
144006,PUNJAB,JALANDHAR
144007,PUNJAB,JALANDHAR
144008,PUNJAB,JALANDHAR
144009,PUNJAB,JALANDHAR
144010,PUNJAB,JALANDHAR
144011,PUNJAB,JALANDHAR
144012,PUNJAB,JALANDHAR
144013,PUNJAB,JALANDHAR
144015,PUNJAB,JALANDHAR
144019,PUNJAB,JALANDHAR
144020,PUNJAB,JALANDHAR
144021,PUNJAB,JALANDHAR
144022,PUNJAB,JALANDHAR
144023,PUNJAB,JALANDHAR
144024,PUNJAB,JALANDHAR
144025,PUNJAB,JALANDHAR
144027,PUNJAB,JALANDHAR
144038,PUNJAB,PHAGWARA
144039,PUNJAB,JALANDHAR
144040,PUNJAB,JALANDHAR
144046,PUNJAB,JALANDHAR
144047,PUNJAB,JALANDHAR
144048,PUNJAB,JALANDHAR
144049,PUNJAB,JALANDHAR
144050,PUNJAB,JALANDHAR
144051,PUNJAB,JALANDHAR
144052,PUNJAB,JALANDHAR
144053,PUNJAB,JALANDHAR
144102,PUNJAB,ADAMPUR
144103,PUNJAB,ADAMPUR
144106,PUNJAB,JALANDHAR
144201,PUNJAB,JALANDHAR
144203,PUNJAB,HOSHIARPUR
144204,PUNJAB,HOSHIARPUR
144205,PUNJAB,HOSHIARPUR
144207,PUNJAB,HOSHIARPUR
144208,PUNJAB,HOSHIARPUR
144211,PUNJAB,HOSHIARPUR
144213,PUNJAB,JALANDHAR
144216,PUNJAB,HOSHIARPUR
144218,PUNJAB,JALANDHAR
144225,PUNJAB,JALANDHAR
144304,PUNJAB,JALANDHAR
144306,PUNJAB,HOSHIARPUR
144401,PUNJAB,KAPURTHALA
144402,PUNJAB,KAPURTHALA
144409,PUNJAB,JALANDHAR
144410,PUNJAB,JALANDHAR
144411,PUNJAB,KAPURTHALA
144423,PUNJAB,PHAGWARA
144504,PUNJAB,SHAHID BHAGAT SINGH NAGAR
144505,PUNJAB,SHAHID BHAGAT SINGH NAGAR
144514,PUNJAB,SHAHID BHAGAT SINGH NAGAR
144521,PUNJAB,SHAHID BHAGAT SINGH NAGAR
144523,PUNJAB,HOSHIARPUR
144527,PUNJAB,HOSHIARPUR
144529,PUNJAB,PHAGWARA
144533,CHANDIGARH,CHANDIGARH
144601,PUNJAB,KAPURTHALA
144602,PUNJAB,KAPURTHALA
144621,PUNJAB,KAPURTHALA
144626,PUNJAB,JALANDHAR
144628,PUNJAB,KAPURTHALA
144629,PUNJAB,JALANDHAR
144632,PUNJAB,KAPURTHALA
144701,PUNJAB,MALSIAN
144702,PUNJAB,JALANDHAR
144801,PUNJAB,JALANDHAR
145001,PUNJAB,PATHANKOT
145002,PUNJAB,PATHANKOT
145003,PUNJAB,PATHANKOT
145021,PUNJAB,PATHANKOT
145023,PUNJAB,PATHANKOT
145024,PUNJAB,PATHANKOT
145025,PUNJAB,PATHANKOT
145105,PUNJAB,JALANDHAR
146001,PUNJAB,HOSHIARPUR
146002,PUNJAB,JALANDHAR
146006,PUNJAB,JALANDHAR
146021,PUNJAB,HOSHIARPUR
146022,PUNJAB,HOSHIARPUR
146023,PUNJAB,JALANDHAR
146102,PUNJAB,HOSHIARPUR
146105,PUNJAB,HOSHIARPUR
146112,PUNJAB,JALANDHAR
146113,PUNJAB,HOSHIARPUR
147001,PUNJAB,PATIALA
147002,PUNJAB,PATIALA
147003,PUNJAB,PATIALA
147004,PUNJAB,PATIALA
147005,PUNJAB,PATIALA
147021,PUNJAB,PATIALA
147101,PUNJAB,PATIALA
147103,PUNJAB,PATIALA
147105,PUNJAB,PATIALA
147111,PUNJAB,PATIALA
147201,PUNJAB,PATIALA
147202,PUNJAB,PATIALA
147203,PUNJAB,FATEHGARH SAHIB
147301,PUNJAB,FATEHGARH SAHIB
148000,PUNJAB,RAJPURA
148001,PUNJAB,SANGRUR
148006,PUNJAB,RAJPURA
148009,PUNJAB,RAJPURA
148021,PUNJAB,SANGRUR
148022,PUNJAB,SANGRUR
148023,PUNJAB,SANGRUR
148024,PUNJAB,SANGRUR
148025,PUNJAB,PATIALA
148026,PUNJAB,SANGRUR
148027,PUNJAB,PATIALA
148028,PUNJAB,SANGRUR
148033,PUNJAB,SANGRUR
148035,PUNJAB,PATIALA
148036,PUNJAB,RAJPURA
148040,PUNJAB,RAJPURA
148041,PUNJAB,RAJPURA
148042,PUNJAB,RAJPURA
148045,PUNJAB,RAJPURA
148046,PUNJAB,RAJPURA
148047,PUNJAB,RAJPURA
148049,PUNJAB,RAJPURA
148050,PUNJAB,RAJPURA
148051,PUNJAB,RAJPURA
148100,PUNJAB,MOGA
148101,PUNJAB,BARNALA
148102,PUNJAB,BARNALA
148104,PUNJAB,LUDHIANA
148105,PUNJAB,RAJPURA
148106,PUNJAB,PATIALA
148107,PUNJAB,BARNALA
148108,PUNJAB,SANGRUR
148110,PUNJAB,BHATINDA
148111,PUNJAB,BHATINDA
148112,PUNJAB,BHATINDA
148113,PUNJAB,BHATINDA
148114,PUNJAB,BHATINDA
148115,PUNJAB,BHATINDA
148116,PUNJAB,BHATINDA
148117,PUNJAB,BHATINDA
151001,PUNJAB,BATHINDA
151002,PUNJAB,BATHINDA
151003,PUNJAB,BATHINDA
151005,PUNJAB,BATHINDA
151101,PUNJAB,BATHINDA
151102,PUNJAB,BHATINDA
151103,PUNJAB,BATHINDA
151107,PUNJAB,BHATINDA
151110,PUNJAB,BHATINDA
151201,PUNJAB,BATHINDA
151202,PUNJAB,FARIDKOT
151203,PUNJAB,FARIDKOT
151204,PUNJAB,FARIDKOT
151206,PUNJAB,BATHINDA
151211,PUNJAB,MUKTSAR
151301,PUNJAB,BATHINDA
151501,PUNJAB,BHATINDA
151504,PUNJAB,MANSA
151505,PUNJAB,MANSA
151507,PUNJAB,BHATINDA
151509,PUNJAB,BHATINDA
151511,PUNJAB,BHATINDA
152001,PUNJAB,FIROZPUR
152002,PUNJAB,FIROZPUR
152021,PUNJAB,MOGA
152022,PUNJAB,FAZILKA
152024,PUNJAB,FAZILKA
152026,PUNJAB,MUKTSAR
152101,PUNJAB,MUKTSAR
152102,PUNJAB,BHATINDA
152103,PUNJAB,BHATINDA
152107,PUNJAB,MUKTSAR
152116,PUNJAB,FAZILKA
152120,PUNJAB,BHATINDA
152123,PUNJAB,FIROZPUR
152124,PUNJAB,LUDHIANA
152125,PUNJAB,BHATINDA
152131,PUNJAB,BHATINDA
160001,CHANDIGARH,CHANDIGARH
160002,CHANDIGARH,CHANDIGARH
160003,CHANDIGARH,CHANDIGARH
160005,CHANDIGARH,CHANDIGARH
160006,CHANDIGARH,CHANDIGARH
160007,CHANDIGARH,CHANDIGARH
160008,CHANDIGARH,CHANDIGARH
160009,CHANDIGARH,CHANDIGARH
160010,CHANDIGARH,CHANDIGARH
160011,CHANDIGARH,CHANDIGARH
160012,CHANDIGARH,CHANDIGARH
160013,CHANDIGARH,CHANDIGARH
160014,CHANDIGARH,CHANDIGARH
160015,CHANDIGARH,CHANDIGARH
160016,CHANDIGARH,CHANDIGARH
160017,CHANDIGARH,CHANDIGARH
160018,CHANDIGARH,CHANDIGARH
160019,CHANDIGARH,CHANDIGARH
160020,CHANDIGARH,CHANDIGARH
160021,CHANDIGARH,CHANDIGARH
160022,CHANDIGARH,CHANDIGARH
160023,CHANDIGARH,CHANDIGARH
160024,CHANDIGARH,CHANDIGARH
160025,CHANDIGARH,CHANDIGARH
160026,CHANDIGARH,CHANDIGARH
160027,CHANDIGARH,CHANDIGARH
160028,CHANDIGARH,CHANDIGARH
160029,CHANDIGARH,CHANDIGARH
160030,CHANDIGARH,CHANDIGARH
160031,CHANDIGARH,CHANDIGARH
160032,CHANDIGARH,CHANDIGARH
160033,CHANDIGARH,CHANDIGARH
160034,CHANDIGARH,CHANDIGARH
160035,CHANDIGARH,CHANDIGARH
160036,CHANDIGARH,CHANDIGARH
160037,CHANDIGARH,CHANDIGARH
160038,CHANDIGARH,CHANDIGARH
160039,CHANDIGARH,CHANDIGARH
160040,CHANDIGARH,CHANDIGARH
160041,CHANDIGARH,CHANDIGARH
160042,CHANDIGARH,CHANDIGARH
